Course Name,Instructor/Institution,Description,Level,Platform,Course Link,Rating
Financing Innovative Ventures,"The University of Maryland, College Park-University System of Maryland","This course will demystify key financial concepts to give aspiring and active entrepreneurs and innovators a guide for understanding their financials and securing funding. Assuming that our learners have no prior knowledge in accounting, economics, or finance, we will work from the ground up to:● Examine the many financing options available to get your new venture funded● Learn the basics of finance, valuations, dilution, and non-dilutive funding source● Understand capital structure for new ventures, term sheets and how to negotiate them, and the differences between early-stage versus later-stage financing● Develop an understanding of how to develop winning investor pitches, who and when to pitch, how to avoid common mistakes that limit the effectiveness of the pitch, and how to ‘get to the close.Key questions answered within the course include:● If and when to raise outside capital?● What kind of investors invest by stage and where to find them?● What are your fundraising options?● What are the key components of the term sheet?● How to perform company valuations?● How to pitch to investors?● What techniques help the entrepreneur ‘get to the close’?",Intermediate,edx Courses,https://www.edx.org/course/financing-innovative-ventures,4.2
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",Imperial College London,"This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:Over seven modules, covering general motion in a straight line and two dimensions, projectile motion, a model for friction, moments, equilibrium of rigid bodies, vectors, differentiation methods, integration methods and differential equations, your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course.You’ll also be encouraged to consider how what you know fits into the wider mathematical world.By the end of this course, you'll be able to: ",Intermediate,edx Courses,https://www.edx.org/course/a-level-mathematics-for-year-13-course-2,4.7
Theories of Media and Technology,New York University,"Students in this course will build critical, applicable knowledge and understanding of the pervasive impact of media and technology on culture. You will learn influential concepts of media and technology, and be able to apply these ideas to contemporary trends, issues, and your own practice of art and design. Whether you are a graphic designer, UX/UI designer, web designer, or accessibility designer, this course will help you connect your work immediately to a deep, evolving framework of ideas and questions that enrich our understanding of how people consume, create, and use media, how human and non-human objects are related, how games make us think about platforms and software, and how we currently view traditional media such as sound, pictures and video.",Intermediate,edx Courses,https://www.edx.org/course/theories-of-media-and-technology,4.2
Introducción a la Estructura de la Materia,Universitat Politècnica de Valencia,"Todos lo que nos envuelve y los materiales que utilizamos diariamente están formados por mezclas de compuestos químicos, cuyas propiedades, aplicaciones y transformaciones dependen de los elementos que los forman y de su estructura. La Química es la ciencia que nos permite conocer todos estos conceptos, y es una materia básica en muchas titulaciones Universitarias. Este curso va dirigido a los alumnos que acceden a la Universidad que requieren dichos conocimientos básicos. Con este curso conocerás la importancia de la Química en el mundo que te rodea. Te introducirás en el concepto de la reacción química. Entenderás la estructura de la materia, los elementos que la forman y sus propiedades. En el curso trataremos:",Intermediate,edx Courses,https://www.edx.org/course/introduccion-a-la-estructura-de-la-materia,4.5
"Batteries, Fuel Cells, and their Role in Modern Society",Ural Federal University,"In today's world, we see game-changing movements in transportation and energy markets. A better understanding of the processes involved can help you to find your own role in these incipient shifts and take advantage of monumental changes down the road. This course is an elementary introduction to batteries and fuel cell, the cornerstone of electromobility and renewable energy, the main drivers of sustainable development. Learning the lessons of history, understanding the main driving forces, and gaining the basic knowledge of the key technologies will build your basic all-around comprehension of the subject. This course aims tobridgescience and society. For students focused on science, it will help illustrate the demands of society and industry. For learners from industry, business, or from generalist backgrounds, it will be the lucid introduction to the subject. The short course will not make you an expert in batteries, fuels cells, and electric vehicles, but will help you incommunicating with scientists and engineers and make your further education (or self-education) more productive. The main focus of the course is on batteries - namely, lithium-ion batteries - and electric vehicles as the key market.",Intermediate,edx Courses,https://www.edx.org/course/batteries-fuel-cells-and-their-role-in-modern-so-2,4.1
Communication Skills for Dialoguing Across Difference,Catalyst,"Now more than ever, you are going to school, working, and living in communities with people who think, look, and have beliefs different from your own. This 45-minute course will give you the skills to bridge those divides and find common ground.In this skills-based course, we will explore practical strategies and techniques to apply in your daily life. You will learn about the difference between dialogue, discussion, and debate; micro-affirmations; and how to be an ally.If you are seeking to develop and practice these skills and apply them to build a more inclusive world, this course is for you. The course is also mobile-friendly.",Intermediate,edx Courses,https://www.edx.org/course/communication-skills-for-dialoguing-across-difference,4.6
Social Media: How Media Got Social,Curtin University,"Social media and online communication dominate our daily lives in an unprecedented manner. Wireless connectivity, mobile devices and wearable technologies mean that social media is always on, always part of everyday life for billions of people across the world. While the term 'social media' is barely a decade old, the story of how people started using the internet in a social manner is a much longer and more interesting one. This course willincrease learners' understanding of social media by looking at the ways networked connectivity let users become 'social', how this was amplified with the emergence of the web, and how social media became the default mode of the mobile web we use today.By completing this course, you should be able to: ",Intermediate,edx Courses,https://www.edx.org/course/social-media-how-media-got-social,4.6
"Portfolio Management, Governance, & the PMO",University of Washington,"What is a PMO, and how does it work?This course focuses on the Project Management Office (PMO) and the governance techniques used to monitor and control the delivery of projects and programs.You’ll learn all about Portfolio management and the different kinds of PMOs in use today. You’ll also explore various approaches for building, maintaining and closing a PMO, as well as monitoring techniques to ensure that projects are completed successfully.By the end of this course you will be able to:",Intermediate,edx Courses,https://www.edx.org/course/portfolio-management-governance-the-pmo,4.0
edX101: Overview of Creating an edX Course,edX,"This course is designed to show faculty, instructors and organizational leadership how to create a course on edX. The course will cover the strategy behind getting the word out about a course, creating course content that is interactive, engaging, and accessible, and delivering a finished course.",Intermediate,edx Courses,https://www.edx.org/course/edx101-overview-of-creating-an-edx-course,4.6
Data Analysis for Decision Making,"The University of Maryland, College Park-University System of Maryland","In our information age, companies have access to unprecedented amounts information on customers--their behaviors, interests, and buying habits--and the markets in which they operate. Being able to analyze that data has become a critical skill for decision makers at every level of an organization. Today’s firms use data to detect market movement before it becomes a fully-fledged trend, helping them to stay ahead of the curve, tailor products and services to specific customer segments, determine when and when to enter markets, and differentiate themselves from competitors. In this course, you will learn how to unlock the value of data to create and grow an organization. You will gain the analytical tools necessary to confidently describe the current state of areas critical to your business, predict the likelihood of an event occurring, compare two or more approaches to a business challenge, and determine if a phenomenon you are seeing is coincidence or a genuine insight. By the end of this course, you know how to make data-driven decisions to find advantages and stay competitive.",Advanced,edx Courses,https://www.edx.org/course/data-analysis-for-decision-making,4.0
UML Class Diagrams for Software Engineering,KU Leuven University,"Have you ever wondered how software architects, requirements engineers and business analysts sketch and draw out their plans for a software system?In this computer science course, you will gain an in-depth understanding of Unified Modeling Language (UML) class diagrams, which are used to visually represent the conceptual design of a system. You will learn about UML class diagrams and how they are used to map out the structure of a business domain by showing business objects, their attributes, and associations.Taught by an instructor with decades of experience in requirements engineering and domain modelling, this course will equip you with the skill of in-depth understanding of a UML class diagram and will enable you to judge the functional fit of a UML class diagram as blueprint for the development of an enterprise information system.The Unified Modeling Language (UML) has become an in-demand skill in software development and engineering. In fact, some of today’s top jobs, i.e. business analysts, enterprise architects, but also developers, technical consultants and solutions architects, require UML knowledge. Enroll today and gain knowledge in an in-demand skill that will help set you apart from the competition.",Intermediate,edx Courses,https://www.edx.org/course/uml-class-diagrams-for-software-engineering,4.2
Driving Digital Innovation through Experimentation,Boston University,"Experimentation is a key capability for any business to develop and master. Learn how to leverage data to build knowledge and apply this knowledge to improve business outcomes and create strategic advantages. This course is part of both the Digital Product Management and Digital Leadership MicroMasters programs. In it, you will learn to develop iterative business experiments using agile methods. This capability is central to digital businesses as it allows them to sustain competitive advantage through both incremental improvements as well as significant, disruptive innovations when opportunities and conditions warrant them. This course focuses on experimentation across the three layers of a digital business: (1) the capacity of the technical infrastructure to provide an iterative and operational process that uses experiments to gather data and develop knowledge (2) the ability to use agile methods and manage the knowledge interfaces among experts at the organizational layer to derive insight from data to create knowledge and ultimately drive improvements in products and processes. (3) the capability to use the technical and organizational infrastructures to drive experimentation at scale in order to deliver digital transformation.You will learn how to: ",Advanced,edx Courses,https://www.edx.org/course/driving-digital-innovation-through-experimentation,4.6
Compilation Basics for Macroeconomic Statistics,The International Monetary Fund,"Thiscoursereviews the basic skills, concepts, and principles required to compile and disseminate macroeconomic and financial statistics. The course covers topics such as residence, institutional units, institutional sectors, accounting rules, financial instruments, stocks and flows, the IMF's Data Standards Initiatives, and presents the basic macroeconomic linkages among these statistics. Compilation Basics for Macroeconomic Statistics (CBMSx) is offered by the IMF with financial support from the Government of Japan.",Intermediate,edx Courses,https://www.edx.org/course/compilation-basics-for-macroeconomic-statistics,4.2
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,Inter-American Development Bank,"Los siniestros de transito estan posicionados como la principal causa de muerte en America Latina y el Caribe. La inseguridad vial afecta a todos los ciudadanos. Sus consecuencias son inmediatas y se reflejan en el sufrimiento que provocan, pero ademas generan un gran costo social y economico. Al tomar este curso, pasas de ser parte del problema a ¡ser parte de la solución! Ya que el primer paso para cambiar esta realidad es conocerla y aprender sobre sus caracteristicas y las medidas que se requieren para mitigarla.Este curso, te permitira aprender por medio de módulos dinámicos, en los cuales encontraras videos de especialistas de diversas organizaciones (BID, OPS/OMS, WRI, LatinNCAP entre otras), asi como funcionarios de gobierno en los cuales exponen su conocimiento sobre los temas que te interesan relacionados con la seguridad vial; lecturas; casos reales de la region; recomendaciones; actividades practicas y foros de discusion.Por otro lado, este curso te abre la posibilidad de discutir, intercambiar y compartir lecciones aprendidas con alumnos de diferentes paises. Imagina poder contrastar tus opiniones y experiencias con gestores publicos en ejercicio de sus funciones y representantes de organizaciones de la Sociedad Civil ¡de toda la región! En este curso decidimos eliminar las barreras que imponen las distancias geograficas y abrir espacios unicos de creatividad e innovacion sobre recursos de evidencia y sistematizacion. ¿No te suena interesante?No pierdas la oportunidad de ser pionero en aprender sobre esta tematica de la mano de expertos reconocidos a nivel internacional; pero, sobre todo, de ser parte del equipo que en conjunto trabajara por una America Latina y un Caribe libre de lesiones en el transito. Si te interesa el tema de la seguridad vial, la movilidad sustentable y la prevención de lesiones causadas por el transito ¡no puedes perderte este curso en linea!¡Se parte del cambio y hagamos del derecho a la movilidad segura, una realidad!La dedicacion estimada para aprobar es de 3 horas semanales por 10 semanas. No obstante, a traves de la modalidad a tu propio ritmo (self-paced) tendras la flexibilidad de tomar el curso durante un maximo de 4 meses, del 2 de abril al 18 de diciembre de 2020.",Intermediate,edx Courses,https://www.edx.org/course/seguridad-vial-en-america-latina-y-el-caribe-de-la,4.5
From Fossil Resources to Biomass: A Chemistry Perspective,Wageningen University & Research,"Join this course if you want to learn how to create a sustainable future by moving away from dependence on fossil resources to biomass resources for the production of food, chemicals and energy-carriers. You will learn what biomass is, how to produce biomass renewable energy- and biomass fuel and how to make biobased products.The course will give you a solid understanding of how chemistry works in a biobased economy and in the production of biomass renewable products. Your valuable knowledge will help your company drive into sustainability and actually make the transition to use biomass resources to produce biobased products.You will learn about the products that can be derived from biomass and the processes used to do so.
We will explore catalytic conversion of biomass by discussing types of catalysts, special challenges for catalysis when converting biomass into biomass energy and the interplay of catalysis and up/down stream processes. Then we dive into biorefinery. Biorefinery deals with the challenge of extracting valuable biomass components and converting them to final products. To achieve this you first need knowledge of the different types of biomass, the molecules present and their chemical characteristics. Biorefinery is all about efficient processing. Aspects of processing include the harvesting, pre-treatments, conversion and separation technologies.Join the MicroMasters programmeThis MOOC is part of two MicroMasters programmes, Economics and Policies for a Circular Bio-Economy and Business and Operations for a Circular Bio-Economy.The Business and Operations for a Circular Bio-Economy MicroMasters will provide you with the knowledge and tools to analyse the business and operations side of the switch to biobased products.The MicroMasters Economics and Policies for a Circular Bio-Economy covers the economic and policy side of converting biological resources into biobased products. You will able to contribute substantially to managerial decision-making as well as policy development. Both programmes consist of 3 courses and a final project; the capstone.Explore the other courses in the MicroMasters programmes:",Advanced,edx Courses,https://www.edx.org/course/from-fossil-resources-to-biomass-a-chemistry-persp,4.6
System Dynamics for Health Sciences,Wits University,"Effective and meaningful engagement with complex modern medical systems requires an overarching set of tools.System dynamics is such a tool, allowing health practitioners to model and simulate problems ranging from the molecular level to the entire healthcare system and beyond. This introductory course will teach you the fundamental principles of system dynamics as you learn how to use system dynamics software to explore problems relevant to your field of health. Whether you work in molecular biology, clinical medicine, health policy, or any other health-related field, this course will equip you to investigate the effects of time delays, feedback and system structure. You will learn how to interpret the causes of typical system behaviors such as growth, decay and oscillation in terms of the underlying system properties, and to rapidly develop computer-based models and run simulations to gain insight into the problems in your domain.This course will empower you with a deeper understanding and an enhanced capacity to achieve useful interventions in healthcare.",Intermediate,edx Courses,https://www.edx.org/course/system-dynamics-for-health-sciences,4.1
Internet de las cosas (IoT) y Big Data,Universidad del Rosario,"El internet de las cosas (IoT) esta revolucionando diferentes ecosistemas de la llamada revolucion 4.0. En ese sentido, el curso esta enfocado en el aprendizaje activo de aquellas personas interesadas en la ciencia, tecnología y desarrollo de sistemas escalables con ayuda de tarjetas de programación de fácil manejo, sensores de bajo costo y uso de software libre, promoviendo las habilidades que las personas interesadas deben poseer para los trabajos actuales y del futuro.En este curso online aprenderas herramientas avanzadas para la gestion de proyectos en el campo de la programación, sistemas de almacenamiento y gestion de bases de datos y tecnologías en comunicación por medio de protocolos de Node red, herramienta clave en el desarrollo de aplicaciones de Internet de las Cosas (IoT) y su relación con el Big Data de la mano del grupo de profesores de la Universidad del Rosario (Bioinstrumentacion, programacion avanzada, control electronico) del programa de Ingeniería Biomódica.En cada modulo encontraras diferentes herramientas de desarrollo, a partir de diferentes plataformas especializadas para llevar a cabo un proyecto en IoT, basados en problemáticas reales del campo industrial. Paso a paso, podras integrar el material presentado en el MOOC, de tal forma que puedas implementar tu proyecto personal y de paso mejorar tus conocimientos sobre conceptos relevantes sobre IoT y Big Data con ello, conseguir nuevas oportunidades de ingresos en el lucrativo ambito de la transformación digital 4.0.",Intermediate,edx Courses,https://www.edx.org/course/internet-de-las-cosas-iot-y-big-data,4.4
Introducción a Ciencias de Datos y Estadística Básica para Negocios,Tecnológico de Monterrey,"Este curso te permitirá desarrollar habilidades como un tomador de decisiones con base a las siguientes competencias:Por medio de la estadística descriptiva, el estudio y análisis de distribuciones de probabilidad discreta y continua, así como la estimación por intervalos para la media y la proporción es como lograrás desarrollar ambas competencias.A través de este curso los participantes podrán:● Aplicar métodos básicos estadísticos al entorno de los negocios● Utilizar herramientas tecnológicas para desarrollar habilidades cuantitativas● Interpretar los resultados de métodos estadísticos aplicados a los negocios",Advanced,edx Courses,https://www.edx.org/course/introduccion-a-ciencias-de-datos-y-estadistica-basica-para-negocios,4.6
Introduction to Psychological Research Methods,The University of Queensland,"Do we really only use 10% of our brain? How can we answer questions like this? We shouldn't just rely on our intuition, because unfortunately that can sometimes give us the incorrect answer.In this psychology course, learn how psychological research is conducted, how to analyze the findings and results and effectively write a research report.An understanding of psychological research methods allows us to test questions systematically and report the findings of our research so that others can critically evaluate the validity of our conclusions.",Intermediate,edx Courses,https://www.edx.org/course/introduction-to-psychological-research-methods,4.4
Sustainable Packaging in a Circular Economy,Delft University of Technology,"It has become almost impossible to imagine what our lives would be like without the many benefits of packaging - just think about the different packaging and single-use items you use on a daily basis. Yet as our global population grows in size and affluence, both our collective demand for packaging materials and the waste we generate as a result will increasedramatically. Currently, large amounts of packaging waste escape formal collection and recycling systems and eventually end up polluting the environment. Moreover, their material value is forever lost to the economy. The Ellen MacArthur Foundation estimates that uncollected plastic packaging waste alone is worth somewhere between 80 to 120 billion dollars a year. So how can we improve packaging systems in order to capture this wasted potential? Clearly, the way we currently design, recover, and reuse packaging urgently needs a rethink! In this course, you will learn about the design of sustainable packaging systems. To do so we will explore the design and business strategies of the circular economy. Contrary to our current industrial model, which extracts, uses and ultimately disposes of resources, a circular economy is regenerative by design. This means that products and services are reimagined from a systems perspective in order to minimize waste, maximize positive economic, environmental and social impacts, and keep resources locked in a cycle of restoration. This course is for you if you are interested in learning about sustainable packaging design. You'll also benefit if you are a professional in the packaging industry and want to learn how to find circular opportunities in your work. Students - particularly in design -will be able to broadentheir knowledge of circular design and business strategies.",Intermediate,edx Courses,https://www.edx.org/course/sustainable-packaging-in-a-circular-economy,4.5
Design in Healthcare: Using Patient Journey Mapping,Delft University of Technology,"In this course you will learn about the different experiences patients go through in a medical context. The patient journey explores the interaction between the patient and the healthcare providers in all stages of the disease; coping with treatment and dealing with expectations, and interaction with and between different stakeholders. This course will give designers and specialists in healthcare the knowledge, insights and tools to be able to analyze and improve patient experience. You will learn how to map complex healthcare scenarios, pinpoint opportunities and create hands-on solutions aimed at improving the patient experience. This course is an introduction to patient journey mapping; developed at the Delft University of Technology and applied in improvement of care pathway. Step-by-step, the course visualizes the different stakeholders, phases and actions involved in patient treatment. You will be challenged to pursue new insights and given a unique opportunity to learn about four trending healthcare issues each presented by a partnering institution. Furthermore, you will learn about healthcare trends from a team of experts in specific technological domains. Ranging from personalized care to advance manufacturing for healthcare. These sessions will provide you with technological background that will be useful when developing your design concepts. No previous knowledge about health care innovation, design or journey mapping is necessary.",Intermediate,edx Courses,https://www.edx.org/course/design-in-healthcare-using-patient-journey-mapping,4.1
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",Universidad Nacional de Córdoba,"Las BPAs se definen como “el conjunto de principios, normas y recomendaciones técnicas, tendientes a reducir los riesgos físicos, químicos y biológicos en la producción, procesamiento, almacenamiento y transporte de productos de origen agropecuario, orientadas a asegurar la inocuidad del producto, la protección del ambiente y del personal involucrado, con el fin de propender al Desarrollo Sostenible. “Manual Agricultura Certificada AAPRESID” (Cobbe 2009)El Manejo Integrado de Plagas, o MIP, es la utilización de manera criteriosa y adecuada de todas las técnicas de tratamiento y manejo disponibles de los problemas sanitarios que afectan el cultivo. Desde el manejo de plagas y basándonos en las definiciones anteriormente mencionadas nos centraremos en definir el Monitoreo como un seguimiento secuencial en un período de tiempo, realizando muestreos de los mismos. Realizando un relevamiento y registro de la información “pertinente”, realizando hincapié en la información que realmente interese y sea relevante para el manejo de plagas, con el objetivo de definir el manejo sanitario de un cultivoNuestra gran limitante es el tiempo, cuando se releva la información se tiene un determinado tiempo de revisión de lotes, mientras los cultivos siguen avanzando, determinando hasta qué punto se sigue recopilando la información para mejorar el manejoDiferenciaremos entre Monitoreo, Visita y Muestreo, conceptos que no deben ser confundidos.Muestreo; selección de una pequeña parte, utilizada para inferir el valor de una o varias características delconjuntoVisita: productor o profesional va recabando datos relevantes, así como el personal encargado de sembrar, pulverizar o cosecharEl MONITOREO tiene como principal objeto entender la dinámica de problemas sanitarios en cultivos. Pero para que este objetivo se cumpla debe:Registrar información con frecuencia para que sea fidedigna.Realizarse durante un período temporal acorde a los objetivos de relevamiento.Limitar el espacio del cual se tomará información para el manejo.Requiere conocimiento profundo de los problemas sanitarios en los cultivos, la dinámica y dimensión de estos problemas.Pero para conocer a fondo las limitantes sanitarias de un cultivo, es primario conocer el “cultivo sano”Veremos cuáles son las ventajas de Monitorear, la importancia de registrar los datos para encontrar soluciones, ver la evolución y compartir con otros profesionales.En este curso aprenderemos a definir el Monitoreo como un seguimiento secuencial en un período de tiempo, realizando muestreos de los mismos.Mediante un relevamiento y registro de la información “pertinente”, realizando hincapié en la información que realmente interese y sea relevante para el manejo de plagas, con el objetivo de definir el manejo sanitario de un cultivo.Aprenderemos a identificar, cuantificar, conocer su biología, su estado, determinar su ubicación en el cultivo, conocer el coeficiente de daño o el nivel de pérdida que puede ocasionar al cultivo las plagas y organismos benéficos.Identificar los factores a tener en cuenta a la hora de realizar un muestreo.Implementar prácticas agronómicas que tiendan a reducir las poblaciones de plagas; Realizar un seguimiento frecuente de las poblaciones de las plagas, considerando el daño particular de cada una como así también los daños adicionales del conjunto, tomando en cuenta el estado fenológico y general del cultivo y las condiciones ambientales.Identificar, cuantificar, conocer su biología, su estado, determinar su ubicación en el cultivo, conocer el nivel de reducción que puede ocasionar a las plagas que atacan al cultivo.Tomar en cuenta información adicional sobre la posibilidad de aumento poblacional o aparición de plagas y enemigos naturales, valiéndose de todas las herramientas disponibles.Considerar debidamente el equilibrio entre las pérdidas económicas del cultivo y los costos/beneficios de la implementación de prácticas tendientes a la reducción de las plagas.En el caso de necesidad de realizar un control con fitosanitarios, elegir aquellos productos que actúen de manera específica contra las plagas en cuestión, con el menor impacto ambiental, instrumentando una correcta forma de aplicación y siguiendo las recomendaciones de un profesional.",Intermediate,edx Courses,https://www.edx.org/course/el-manejo-de-plagas-malezas-y-enfermedades-en-los-sistemas-de-siembra-directa,4.1
"Electronic, Optical, and Magnetic Properties of Materials",Massachusetts Institute of Technology," This course from MIT’s Department of Materials Science and Engineering introduces the fundamental principles of quantum mechanics, solid state physics, and electricity and magnetism. We use these principles to describe the origins of the electronic, optical, and magnetic properties of materials, and we discuss how these properties can be engineered to suit particular applications, including diodes, optical fibers, LEDs, and solar cells.In this course, you will find out how the speed of sound is connected to the electronic band gap, what the difference is between a metal and a semiconductor, and how many magnetic domains fit in a nanoparticle. You will explore a wide range of topics in the domains of materials engineering, quantum mechanics, solid state physics that are essential for any engineer or scientist who wants to gain a fuller understanding of the principles underlying modern electronics.",Advanced,edx Courses,https://www.edx.org/course/electronic-optical-and-magnetic-properties-of-mate,4.7
La España del Quijote,Universidad Autónoma de Madrid,"En un lugar de la UAM, cuyo nombre merece recordar, habita la España de El Quijote.Un espacio en el que su monarquía creó el primer imperio global de la Historia. Un tiempo, entre los siglos XVI y XVII, en el que su sociedad alcanzó la excelencia en las artes y las letras.Aunque ese esplendor se dio en plenos aires de cambio. Pues España pasó de la hegemonía a la decadencia, de la expansión a la crisis.Este curso pretende trazar la historia de aquella época. Entre el Renacimiento y el Barroco su cultura marcó la pauta en Occidente. Las obras literarias —La Celestina, El Lazarillo, etc.— se tradujeron enseguida en las imprentas europeas y americanas. Las ropas marcaron la moda cortesana. La tendencia más fashion era “vestir a la española”. Los tratados militares y políticos fueron estudiados por los enemigos.La acumulación de talentos en la Villa y Corte de Madrid (Cervantes, Lope, Velázquez, etc.), tuvo réplicas en las grandes ciudades de imperio. Pues en Sevilla, Lisboa, Barcelona, Nápoles, México o Lima se multiplicaron academias literarias, estrenos teatrales y fiestas. Una síntesis de pueblos unidos por la lealtad a la Corona y la fe católica.En nuestro recorrido por esa España de El Quijote pasaremos de la campana al reloj y de la geografía fantástica a la real. La sociedad estuvo polarizada entre los privilegiados —nobleza y clero— y los pobres y los picaros. El Humanismo fue cultivado en las universidades. La familia, la alimentación, la vivienda, los juegos y las fiestas, protagonizaron la vida cotidiana.En el tiempo de El Quijote las luces de los genios literarios y artísticos brillaron sobre las sombras de la Inquisición. Viajemos, pues, a esta excelsa cultura del Siglo de Oro.",Intermediate,edx Courses,https://www.edx.org/course/la-espana-del-quijote,4.7
Risk Management for Projects,University of Adelaide,"Risk management is a process used for the identification, assessment and analysis of potential risks to an organization or project. This process enables you to develop the most appropriate risk response.In the Risk Management for Projects course, you will learn the fundamentals of risk management, as well as how to apply a risk management process in a project-based setting. Risk management is an iterative process and you will learn how adopting key procedures can help you maximize opportunities and minimize negative impact on your project objectives.In this course, you will further upskill through the application of the risk management canvas, which is a framework that enables you to manage risk within your own environment. It will immerse you in the concepts of risk management and help you to apply the key processes.Practical activities through the course will allow you to apply the knowledge you learn as each week focuses on a key stage of the risk management process. The theories and practices taught in the course can easily be applied to any project, organization or business environment.Risk Management for Projects is brought to you by the same team that developed the highly successful Introduction to Project Management MOOC, and builds on risk management for projects introduced in that course.Participating in this course will ensure that you gain the know-how to reduce your project and organizational risk in the future.",Intermediate,edx Courses,https://www.edx.org/course/risk-management-for-projects,4.1
Smithsonian’s Objects That Define America,The Smithsonian Institution,"This course, produced with The Great Courses, will look at four key themes in the History of America as presented by Dr. Richard Kurin, Undersecretary for History, Art and Culture at the Smithsonian.In this course you will gain a unique perspective on American history and culture by learning the stories behind objects that were, and continue to be, an essential part of U.S. history. Most importantly, you will reflect on what objects have personal meaning to you, and the role that symbolic objects play in your own histories.This course is adapted from the video lecture series produced by Smithsonian and The Great Courses, Experiencing America: A Smithsonian Tour Through History.",Intermediate,edx Courses,https://www.edx.org/course/smithsonians-objects-that-define-america,4.0
Creating Modern China: The Republican Period to the Present,Harvard University,"What does it mean to be modern? What constitutes modern politics, modern institutions, a modern military, and modern infrastructure? In this period of great excitement and experimentation, the country is asking itself: How do you become modern and remain true to the Chinese national identity? This course will explore enduring issues around Chinese modernity, with a focus on the creation of the modern Chinese state during the Republican era. You’ll learn about China’s war against Japan, about long-term patterns in U.S.-China relations, and about the role of individual leaders against the backdrop of historical circumstance. Ultimately, you’ll learn different ways to study and understand history. We explore this period thematically rather than chronologically, providing you with a better understanding of how political context influences the interpretation of history.",Intermediate,edx Courses,https://www.edx.org/course/creating-modern-china-the-republican-period-to-the,4.0
Discover Political Science,Université catholique de Louvain,"Politics impact all of us. Everyday, political decisions impact many areas of our lives. In the 21st century, multiple paradoxes blur our vision of these decisions. The course aims at understanding and explaining political phenomena from a critical standpoint. The course material and exercises are in English but please note that the videos are in French with English subtitles.At the end of the course, you will be able to: ",Intermediate,edx Courses,https://www.edx.org/course/discover-political-science-2,4.6
Data Science: Inferential Thinking through Simulations,"University of California, Berkeley","Using real-world examples from a wide range of domains including law, medicine, and football, you’ll learn how data scientists make conclusions about unknowns based on the data available.Often, the data we have are not complete, yet we’d still like to draw inferences about the world and quantify the uncertainty in our conclusions. This is called statistical inference. In this course, you will learn the framework for statistical inference and apply them to real-world data sets.Notably, you will learn how to conduct hypothesis testing—comparing theoretical predictions to actual data, and choosing whether to accept those predictions. You will utilize the power of computation to conduct simulations by which you can evaluate theories or hypotheses about how the world works. This course will teach you the power of statistical inference: given a random sample, how do we predict some quantity that we cannot observe directly?You will also learn how to by quantifying the uncertainty in the conclusions you draw from hypothesis testing. This helps assess whether patterns that appear to be present in the data actually represent a true relationship in the world, or whether they might merely reflect random fluctuations due to chance. Throughout this course, we will go over multiple methods for estimation and hypothesis testing, based on simulations and the bootstrap method. Finally, you will learn about randomized controlled experiments and how to draw conclusions about causality.The course emphasizes the conceptual basis of inference, the logic of the decision-making process, and the sound interpretation of results.",Intermediate,edx Courses,https://www.edx.org/course/foundations-of-data-science-inferential-thinking-b,4.5
Programming for Data Science,University of Adelaide,"There is a rising demand for people with the skills to work with Big Data sets and this course can start you on your journey through our Big Data MicroMasters program towards a recognised credential in this highly competitive area.Using practical activities and our innovative ProcessingJS Workspace application you will learn how digital technologies work and will develop your coding skills through engaging and collaborative assignments.You will learn algorithm design as well as fundamental programming concepts such as data selection, iteration and functional decomposition, data abstraction and organisation. In addition to this you will learn how to perform simple data visualisations using ProcessingJS and embed your learning using problem-based assignments.This course will test your knowledge and skills in solving small-scale data science problems working with real-world datasets and develop your understanding of big data in the world around you.",Intermediate,edx Courses,https://www.edx.org/course/programming-for-data-science,4.0
Public Sector Debt Statistics,The International Monetary Fund,"This course, presented by IMF Statistics Department, covers the fundamentals needed to compile and disseminate comprehensive public sector debt statistics (PSDS) that are useful for policy- and decision-makers, as well as other users. The course introduces the conceptual statistical framework for PSDS—as presented in the Public Sector Debt Statistics: Guide for Compilers and Users—in the context of the government finance statistics (GFS) framework, which is harmonized with other macroeconomic statistical frameworks. Basic concepts, definitions, and classifications are covered, along with the principal accounting rules (including valuation and consolidation) that are relevant for PSDS compilation. The course discusses the recommended the instrument and institutional coverage for compiling comprehensive, internationally comparable PSDS, and how to record contingent liabilities such as government guarantees. It also deals with the impact on PSDS of some debt-related issues such as debt assumption, debt forgiveness, on-lending, financial leases, and financial bailouts. Important PSDS compilation considerations—including what PSDS to compile and disseminate—and the IMF’s guidelines and standards on disseminating PSDS are also covered. The course also presents possible uses of PSDS, including debt sustainability analyses (DSA), and fiscal risk and vulnerability analyses.Upon completion of the course, participants should be able to: ",Intermediate,edx Courses,https://www.edx.org/course/public-sector-debt-statistics,4.2
